,geoid,LowIncomeTracts
5657,06037277100,0
5658,06037277200,0
5659,06037277400,1
5660,06037278001,0
5661,06037278102,0
5662,06037291110,1
5663,06037291120,1
5664,06037291130,0
5665,06037291210,1
5666,06037291220,1
5667,06037291300,0
5668,06037292000,1
5669,06037293201,0
5670,06037293202,1
5671,06037293301,0
5672,06037293302,0
5673,06037293304,1
5674,06037293306,0
5675,06037293307,1
5676,06037294110,0
5677,06037294120,1
5678,06037294200,0
5679,06037294301,0
5680,06037294302,1
5681,06037294410,1
5682,06037294421,1
5683,06037294510,1
5684,06037294520,1
5685,06037294610,1
5686,06037294620,1
5687,06037294701,1
5688,06037294810,1
5689,06037294820,1
5690,06037294830,1
5691,06037294900,1
5692,06037295103,0
5693,06037296210,1
5694,06037296220,1
5695,06037296300,0
5696,06037296401,0
5697,06037296402,0
5698,06037296500,1
5699,06037296600,1
5700,06037296901,1
5701,06037296902,1
5702,06037297000,0
5703,06037297110,1
5704,06037297120,1
5705,06037297201,1
5706,06037297202,0
5707,06037297300,0
5708,06037297400,0
5709,06037297500,0
5710,06037297601,0
5711,06037297602,0
5712,06037300100,0
5713,06037300200,0
5714,06037300301,0
5715,06037300400,0
5716,06037300501,0
5717,06037300502,0
5718,06037300600,0
5719,06037300701,0
5720,06037300702,0
5721,06037300800,0
5722,06037300901,0
5723,06037300902,0
5724,06037301000,0
5725,06037301100,0
5726,06037301203,0
5727,06037301204,0
5728,06037301205,0
5729,06037301206,1
5730,06037301300,0
5731,06037301400,0
5732,06037301501,0
5733,06037301502,1
5734,06037301601,1
5735,06037301602,1
5736,06037301701,0
5737,06037301702,1
5738,06037301801,1
5739,06037301802,1
5740,06037301900,1
5741,06037302002,1
5742,06037302003,0
5743,06037302004,1
5744,06037302102,1
5745,06037302103,1
5746,06037302104,1
5747,06037302201,1
5748,06037302202,1
5749,06037302301,1
5750,06037302302,1
5751,06037302401,1
5752,06037302503,1
5753,06037302504,1
5754,06037302505,1
5755,06037302506,0
5756,06037310100,0
5757,06037310201,0
5758,06037310202,0
5759,06037310300,0
5760,06037310400,0
5761,06037310501,1
5762,06037310601,0
5763,06037310602,0
5764,06037310701,0
5765,06037310702,1
5766,06037310703,1
5767,06037310800,0
5768,06037310900,0
5769,06037311000,0
5770,06037311100,0
5771,06037311200,0
5772,06037311300,0
5773,06037311400,0
5774,06037311500,0
5775,06037311600,0
5776,06037311700,0
5777,06037311801,0
5778,06037311802,1
5779,06037320000,0
5780,06037320100,0
5781,06037320201,1
5782,06037320202,1
5783,06037320300,1
5784,06037400204,0
5785,06037400205,0
5786,06037400206,0
5787,06037400207,0
5788,06037400302,0
5789,06037400304,0
5790,06037400402,0
5791,06037400403,0
5792,06037400404,0
5793,06037400501,0
5794,06037400602,0
5795,06037400603,0
5796,06037400604,1
5797,06037400800,0
5798,06037400900,0
5799,06037401001,0
5800,06037401002,0
5801,06037401101,0
5802,06037401102,0
5803,06037401201,0
5804,06037401202,0
5805,06037401203,0
5806,06037401303,0
5807,06037401304,0
5808,06037401311,0
5809,06037401312,0
5810,06037401500,0
5811,06037401601,0
5812,06037401602,0
5813,06037401603,0
5814,06037401701,0
5815,06037401703,0
5816,06037401704,1
5817,06037401800,0
5818,06037401901,0
5819,06037401902,0
5820,06037402001,1
5821,06037402002,0
5822,06037402101,0
5823,06037402102,1
5824,06037402200,0
5825,06037402301,1
5826,06037402303,1
5827,06037402304,1
5828,06037402402,0
